,users
gmail.com,54896
users.noreply.github.com,9676
hotmail.com,1144
redhat.com,1027
google.com,1000
yahoo.com,811
googlemail.com,561
outlook.com,526
db7f04ef-aaf3-0310-a811-c281ed44c4ad,468
qq.com,421
me.com,420
localhost,396
163.com,393
intel.com,384
cern.ch,360
hp.com,360
rackspace.com,345
mirantis.com,335
gmx.de,305
cisco.com,275
yandex.ru,274
us.ibm.com,261
mit.edu,252
chromium.org,230
live.com,220
localhost.localdomain,218
canonical.com,200
yelp.com,189
web.de,187
mail.ru,171
users.sourceforge.net,161
mozilla.com,156
gmx.net,155
fb.com,155
arm.com,154
icloud.com,152
hpe.com,152
12379f12-61e2-0310-a953-c5ab0a7db1c5,148
huawei.com,145
126.com,142
microsoft.com,142
free.fr,140
b3059339-0415-0410-9bf9-f77b7e298cf2,135
apache.org,132
berkeley.edu,128
zte.com.cn,128
iki.fi,127
stanford.edu,127
fedoraproject.org,122
ligo.org,119
yandex-team.ru,115
amazon.com,115
mac.com,114
uber.com,114
spotify.com,109
github.com,109
cn.ibm.com,108
thoughtworks.com,108
apple.com,104
vmware.com,103
dropbox.com,103
protonmail.com,101
docker.com,98
debian.org,97
.(none),95
ubuntu.(none),92
example.com,89
umich.edu,88
foxmail.com,86
bbbe8e31-12d6-0310-92fd-ac37d47ddeeb,86
gmx.com,84
ya.ru,83
posteo.de,81
uw.edu,79
twitter.com,79
nokia.com,78
cornell.edu,77
epfl.ch,77
corp.globo.com,76
yahoo.fr,73
stsci.edu,72
linux.vnet.ibm.com,71
zalando.de,70
3b39871e-fe4b-0410-b5db-e82997f68959,70
pobox.com,69
nyu.edu,68
riseup.net,68
2f96ce8b-6d43-0410-b8df-bffccc660ffb,68
linkedin.com,66
suse.com,66
continuum.io,65
inria.fr,63
yahoo.co.uk,62
aldebaran-robotics.com,61
heroku.com,61
att.com,61
ucsd.edu,61
edx.org,60
acm.org,60
easystack.cn,60
broadinstitute.org,60
enthought.com,60
fiberhome.com,59
yahoo-inc.com,58
atlassian.com,57
ebay.com,57
alum.mit.edu,57
oracle.com,57
msn.com,56
colorado.edu,55
fastmail.fm,53
cam.ac.uk,52
hotmail.fr,51
example.org,51
emc.com,51
hotmail.co.uk,50
openmailbox.org,49
basho.com,48
imperial.ac.uk,47
illinois.edu,47
lbl.gov,47
columbia.edu,46
fz-juelich.de,46
laposte.net,46
uwaterloo.ca,46
ericsson.com,46
ubuntu.com,45
corp.mail.ru,44
ymail.com,44
uchicago.edu,44
cloudbasesolutions.com,44
nectechnologies.in,44
linux.com,44
airbnb.com,43
salesforce.com,43
kitware.com,43
rit.edu,43
coreos.com,42
asu.edu,42
ieee.org,42
stripe.com,42
orange.com,42
seznam.cz,41
gmx.at,41
lyft.com,41
651a555e-23ca-0310-84fe-ca9f7c59d2ea,41
ucl.ac.uk,41
umn.edu,40
cwi.nl,40
elastic.co,40
opera.com,39
ca.ibm.com,39
cs.stanford.edu,39
samsung.com,38
99cloud.net,38
yahoo.de,38
mailbox.org,38
gentoo.org,38
polyconseil.fr,38
datastax.com,38
f-secure.com,38
bloomberg.net,38
gatech.edu,37
mail.utoronto.ca,37
douban.com,37
vt.edu,37
cea.fr,37
debian,37
suse.de,36
naver.com,36
kth.se,36
lab.ntt.co.jp,36
1fc53939-2000-0410-845c-e8453a809027,36
ocado.com,36
sap.com,35
aol.com,35
camptocamp.com,35
server.fake,35
enovance.com,35
xs4all.nl,35
svn.zope.org,35
mail.com,35
linaro.org,34
ucdavis.edu,34
princeton.edu,34
inktank.com,34
fastmail.com,34
yandex.com,34
alcatel-lucent.com,34
unitedstack.com,34
comcast.net,34
gigaspaces.com,33
scilifelab.se,33
netflix.com,33
ucsc.edu,33
adobe.com,33
yahoo.com.br,33
jp.fujitsu.com,33
cloudera.com,32
shopify.com,32
quantopian.com,32
mesosphere.io,32
cs.washington.edu,32
juniper.net,32
ugent.be,32
in.ibm.com,32
hubspot.com,31
riverbed.com,31
4teamwork.ch,31
cpan.org,31
usgs.gov,31
willowgarage.com,31
imgtec.com,31
vanderbilt.edu,31
sina.com,31
palantir.com,30
citrix.com,30
saltstack.com,30
eventbrite.com,30
potatolondon.com,30
infinidat.com,30
digital.cabinet-office.gov.uk,30
mitre.org,30
ubuntu.ubuntu-domain,30
intevation.de,30
counsyl.com,30
